,tweet,label,label_binary
0,#FollowFriday @France_Inte @PKuchly57 @Milipol_Paris for being top engaged members in my community this week :),positve,1
1,@Lamb2ja Hey James! How odd :/ Please call our Contact Centre on 02392441234 and we will be able to assist you :) Many thanks!,positve,1
2,@DespiteOfficial we had a listen last night :) As You Bleed is an amazing track. When are you in Scotland?!,positve,1
3,@97sides CONGRATS :),positve,1
4,yeaaaah yippppy!!!  my accnt verified rqst has succeed got a blue tick mark on my fb profile :) in 15 days,positve,1
5,"@BhaktisBanter @PallaviRuhail This one is irresistible :)
#FlipkartFashionFriday http://t.co/EbZ0L2VENM",positve,1
6,We don't like to keep our lovely customers waiting for long! We hope you enjoy! Happy Friday! - LWWF :) https://t.co/smyYriipxI,positve,1
7,"@Impatientraider On second thought, there’s just not enough time for a DD :) But new shorts entering system. Sheep must be buying.",positve,1
8,"Jgh , but we have to go to Bayan :D bye",positve,1
9,"As an act of mischievousness, am calling the ETL layer of our in-house warehousing app Katamari.

Well… as the name implies :p.",positve,1
10,#FollowFriday @wncer1 @Defense_gouv for being top influencers in my community this week :),positve,1
11,Who Wouldn't Love These Big....Juicy....Selfies :) - http://t.co/QVzjgd1uFo http://t.co/oWBL11eQRY,positve,1
12,@Mish23615351  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),positve,1
13,"@jjulieredburn Perfect, so you already know what's waiting for you :)",positve,1
14,Great new opportunity for junior triathletes aged 12 and 13 at the Gatorade series! Get your entries in :) http://t.co/of3DyOzML0,positve,1
15,Laying out a greetings card range for print today - love my job :-),positve,1
16,"Friend's lunch... yummmm :)
#Nostalgia #TBS #KU.",positve,1
17,@RookieSenpai @arcadester it is the id conflict thanks for the help :D here's the screenshot of it working,positve,1
18,@oohdawg_ Hi liv :)),positve,1
19,Hello I need to know something can u fm me on Twitter?? — sure thing :) dm me x http://t.co/W6Dy130BV7,positve,1
20,#FollowFriday @MBandScott_ @Eric_FLE @pointsolutions3 for being top new followers in my community this week :),positve,1
21,"@rossbreadmore I've heard the Four Seasons is pretty dope. Penthouse, obvs #Gobigorgohome
Have fun y'all :)",positve,1
22,@gculloty87 Yeah I suppose she was lol! Chat in a bit just off out x :)),positve,1
23,Hello :) Get Youth Job Opportunities follow &gt;&gt; @tolajobjobs @maphisa301,positve,1
24,💅🏽💋 - :)))) haven't seen you in years,positve,1
25,@Bosslogic @amellywood @CW_Arrow @ARROWwriters Thank you! :-),positve,1
26,@johngutierrez1 hope the rest of your night goes by quickly... I am off to bed... got my music fix and now it is time to dream  :),positve,1
27,"Spiritual Ritual Festival (Népal)
Beginning of Line-up :)
It is left for the line-up (y)
See more at:... http://t.co/QMNz62OEuc",positve,1
28,@ke7zum Hey Sarah! Send us an email at bitsy@bitdefender.com and we'll help you asap :),positve,1
29,@izzkamilhalda lols. :D,positve,1
30,MY kik - hatessuce32429 #kik #kikme #lgbt #tinder #nsfw #akua #cumshot :) http://t.co/TnHJD36yzf,positve,1
31,@KalinWhite come to my house :))))),positve,1
32,"#nsn_supplements, Effective press release distribution with results! :) [link removed] #PressRelease #NewsDistribution",positve,1
33,"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw &lt;3 
Love you &lt;3 x46",positve,1
34,everyone watch the documentary Earthlings on YouTube :-),positve,1
35,@jamiefigsxx  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),positve,1
36,#FollowFriday @MichelBauza @InvataOnline for being top supports in my community this week :),positve,1
37,buuuuuuuut oh well :-),positve,1
38,@leisuremarkltd @NoshandQuaff @aktarislam @keanebrands @HeritageSilver I am looking forward to visiting next week #letsgetmessy Jo :-),positve,1
39,@sehunshinedaily if it makes u feel better i never have nor will see anyone in kpop in the flesh :D,positve,1
40,"@Joyster2012 @CathStaincliffe Good for you, girl!! Best wishes :-)",positve,1
41,@_Kimimi A great enough reason to listen to one epic soundtrack. :D,positve,1
42,@AquaDesignGroup Thank you for the shout out. Have a great Friday :),positve,1
43,I added a video to a @YouTube playlist http://t.co/yzpfsMxUq0 im back on twitch and today it going to be league :) - 1 / 4,positve,1
44,Would love to see you dear in #Jordan :) waiting you! @FIRDOZ  :) @VisitJordan @dannyprol,positve,1
45,"@ABNORMAL_ANA92 oh, okay :D thanks!",positve,1
46,"@sssniperwolf like how to fake gameplays ;) haha Im kidding, im kidding. You do good stuff :).",positve,1
47,"@dennislami @Dicle_Aygur, yeah exactly :)",positve,1
48,Our new product line is in our #etsy shop now! Check it out :) http://t.co/h8exCTLQxg #boxroomcrafts,positve,1
49,@PeakYourMind I hope your vacation is going great! :D,positve,1
